group,start,end,length,total_tiles,ready_tiles,blocked_tiles,complete,coverage_bp,missing_bp,blocked_tile_ids
0,0,77299,77299,11,8,3,False,57144,20155,"2, 8, 9"
1,77299,151599,74300,11,10,1,False,67300,7000,13
2,151599,228839,77240,11,8,3,False,56767,20473,"24, 28, 32"
3,228839,302573,73734,11,5,6,False,32958,40776,"33, 39, 40, 41, 42, 43"
4,302573,377311,74738,11,7,4,False,45815,28923,"44, 45, 46, 47"
5,377311,451610,74299,11,10,1,False,67675,6624,55
6,451610,524379,72769,11,7,4,False,46479,26290,"66, 69, 72, 76"
7,524379,596973,72594,11,11,0,True,72594,0,
8,596973,669278,72305,11,8,3,False,53750,18555,"89, 95, 97"
9,669278,742556,73278,11,8,3,False,53754,19524,"101, 108, 109"
10,742556,819747,77191,11,7,4,False,48617,28574,"111, 112, 113, 116"
11,819747,893433,73686,11,10,1,False,66827,6859,130
12,893433,966584,73151,11,7,4,False,46586,26565,"137, 140, 141, 142"
13,966584,1041915,75331,11,9,2,False,60655,14676,"143, 149"
14,1041915,1116582,74667,11,9,2,False,61244,13423,"161, 164"
15,1116582,1188240,71658,11,10,1,False,65478,6180,169
16,1188240,1263500,75260,11,8,3,False,54518,20742,"179, 185, 186"
17,1263500,1338506,75006,11,9,2,False,61155,13851,"192, 194"
18,1338506,1411948,73442,11,8,3,False,52823,20619,"202, 205, 206"
19,1411948,1486963,75015,11,7,4,False,46458,28557,"210, 211, 212, 217"
20,1486963,1559028,72065,11,9,2,False,58065,14000,"226, 230"
21,1559028,1633484,74456,11,9,2,False,60015,14441,"233, 234"
22,1633484,1705180,71696,11,8,3,False,52342,19354,"242, 243, 244"
23,1705180,1778347,73167,11,5,6,False,31860,41307,"253, 257, 258, 259, 262, 263"
24,1778347,1853979,75632,11,8,3,False,54159,21473,"266, 268, 273"
25,1853979,1928839,74860,11,7,4,False,47104,27756,"276, 281, 282, 285"
26,1928839,2001789,72950,11,9,2,False,59231,13719,"286, 296"
27,2001789,2074658,72869,11,6,5,False,39506,33363,"297, 298, 303, 304, 307"
28,2074658,2149026,74368,11,8,3,False,54547,19821,"312, 313, 315"
29,2149026,2224870,75844,11,8,3,False,54218,21626,"319, 322, 327"
30,2224870,2300260,75390,11,9,2,False,59975,15415,"331, 338"
31,2300260,2376819,76559,11,8,3,False,55040,21519,"341, 344, 351"
32,2376819,2453384,76565,11,9,2,False,62434,14131,"352, 359"
33,2453384,2528159,74775,11,5,6,False,33779,40996,"364, 365, 366, 368, 369, 373"
34,2528159,2603836,75677,11,10,1,False,67979,7698,380
35,2603836,2679367,75531,11,10,1,False,68531,7000,393
36,2679367,2750060,70693,11,7,4,False,43830,26863,"400, 402, 403, 405"
37,2750060,2822639,72579,11,6,5,False,41006,31573,"407, 408, 409, 410, 417"
38,2822639,2897898,75259,11,9,2,False,62266,12993,"418, 423"
39,2897898,2972637,74739,11,6,5,False,41483,33256,"429, 433, 434, 436, 438"
40,2972637,3045106,72469,11,10,1,False,66469,6000,443
41,3045106,3116155,71049,11,10,1,False,63575,7474,455
42,3116155,3194581,78426,11,9,2,False,63687,14739,"465, 471"
43,3194581,3267321,72740,11,7,4,False,46056,26684,"474, 475, 479, 480"
44,3267321,3340065,72744,11,7,4,False,45450,27294,"484, 485, 488, 491"
45,3340065,3413465,73400,11,9,2,False,60374,13026,"498, 500"
46,3413465,3488893,75428,11,4,7,False,27907,47521,"506, 507, 510, 511, 512, 513, 514"
47,3488893,3563518,74625,11,7,4,False,48132,26493,"518, 523, 524, 525"
48,3563518,3637410,73892,11,5,6,False,33216,40676,"528, 529, 530, 532, 533, 536"
49,3637410,3712007,74597,11,8,3,False,54574,20023,"543, 547, 549"
50,3712007,3788097,76090,11,7,4,False,47783,28307,"552, 553, 557, 559"
51,3788097,3861176,73079,11,8,3,False,52342,20737,"565, 567, 568"
52,3861176,3937168,75992,11,9,2,False,60526,15466,"573, 582"
53,3937168,4015314,78146,11,3,8,False,21615,56531,"583, 584, 585, 586, 587, 588, 589, 590"
54,4015314,4092823,77509,11,8,3,False,57824,19685,"594, 595, 597"
55,4092823,4167847,75024,11,7,4,False,47296,27728,"607, 609, 610, 615"
56,4167847,4242407,74560,11,6,5,False,41146,33414,"616, 619, 620, 622, 626"
57,4242407,4315102,72695,11,5,6,False,33022,39673,"627, 629, 630, 632, 634, 635"
58,4315102,4389370,74268,11,10,1,False,67216,7052,648
59,4389370,4462660,73290,11,10,1,False,66039,7251,650
60,4462660,4539640,76980,11,5,6,False,35083,41897,"665, 666, 667, 668, 669, 670"
61,4539640,4617065,77425,11,7,4,False,48057,29368,"671, 674, 675, 676"
62,4617065,4641652,24587,4,4,0,True,24587,0,
