id,start,end,length,total_tiles,ready_tiles,blocked_tiles_count,complete_before
0,0,105244,105244,15,11,4,False
1,105244,209580,104336,15,13,2,False
2,209580,310026,100446,15,7,8,False
3,310026,410019,99993,15,11,4,False
4,410019,511379,101360,15,12,3,False
5,511379,609335,97956,15,13,2,False
6,609335,710116,100781,15,12,3,False
7,710116,812947,102831,15,9,6,False
8,812947,913814,100867,15,14,1,False
9,913814,1015459,101645,15,9,6,False
10,1015459,1116582,101123,15,13,2,False
11,1116582,1215475,98893,15,13,2,False
12,1215475,1318415,102940,15,10,5,False
13,1318415,1418598,100183,15,11,4,False
14,1418598,1518846,100248,15,11,4,False
15,1518846,1620207,101361,15,11,4,False
16,1620207,1718395,98188,15,10,5,False
17,1718395,1818500,100105,15,7,8,False
18,1818500,1921662,103162,15,11,4,False
19,1921662,2021501,99839,15,10,5,False
20,2021501,2121554,100053,15,9,6,False
21,2121554,2224870,103316,15,11,4,False
22,2224870,2327293,102423,15,11,4,False
23,2327293,2432942,105649,15,12,3,False
24,2432942,2535793,102851,15,9,6,False
25,2535793,2638652,102859,15,14,1,False
26,2638652,2736011,97359,15,11,4,False
27,2736011,2835045,99034,15,8,7,False
28,2835045,2937359,102314,15,11,4,False
29,2937359,3038106,100747,15,12,3,False
30,3038106,3138522,100416,15,14,1,False
31,3138522,3241188,102666,15,10,5,False
32,3241188,3340065,98877,15,9,6,False
33,3340065,3439560,99495,15,11,4,False
34,3439560,3542964,103404,15,7,8,False
35,3542964,3645182,102218,15,8,7,False
36,3645182,3746081,100899,15,10,5,False
37,3746081,3848624,102543,15,10,5,False
38,3848624,3951168,102544,15,11,4,False
39,3951168,4056339,105171,15,6,9,False
40,4056339,4160847,104508,15,12,3,False
41,4160847,4262706,101859,15,7,8,False
42,4262706,4362411,99705,15,11,4,False
43,4362411,4462660,100249,15,13,2,False
44,4462660,4568519,105859,15,6,9,False
45,4568519,4641652,73133,11,9,2,False
